segment;pas;succes;attendu
S021;186;1;0.7961011591148578
S021;216;0;0.5025075225677031
S021;307;1;0.7983870967741935
S021;308;1;0.7983870967741935
S021;309;1;0.7983870967741935
S021;337;0;0.2550335570469799
S021;381;1;0.5973377703826955
S021;490;1;0.7983870967741935
S021;491;1;0.7983870967741935
S021;492;1;0.7940379403794038
S021;899;1;0.7751256281407035
S021;900;1;0.7751256281407035
S021;992;1;0.799367088607595
S021;993;1;0.799367088607595
S021;994;1;0.799367088607595
S021;995;1;0.799367088607595
S021;1205;0;0.7983870967741935
S021;1206;0;0.7983870967741935
S021;1213;1;0.39085545722713866
S021;1214;1;0.5038759689922481
S021;1215;1;0.5862619808306709
S022;290;0;0.488
S022;596;0;0.3487423521414004
S022;915;0;0.21744186046511627
S022;916;0;0.21744186046511627
S022;917;0;0.21744186046511627
S022;918;0;0.24356077722548578
S022;1042;0;0.23130841121495327
S022;1043;1;0.36783042394014964
S022;1044;1;0.4111111111111111
S022;1353;0;0.7751256281407035
S023;28;0;0.7751256281407035
S023;29;0;0.7751256281407035
S023;88;0;0.24356077722548578
S023;247;0;0.39921722113502933
S023;342;0;0.7751256281407035
S023;446;1;0.799367088607595
S023;447;1;0.799367088607595
S023;914;1;0.7600479904019196
S023;1124;1;0.6052631578947368
S024;44;0;0.7600479904019196
S024;58;1;0.7600479904019196
S024;59;1;0.7600479904019196
S024;162;1;0.7961011591148578
S024;178;1;0.5973377703826955
S024;416;1;0.6260229132569558
S024;436;1;0.7600479904019196
S024;757;1;0.799367088607595
S024;809;0;0.7983870967741935
S024;906;1;0.6788523831559463
S024;920;1;0.7296996662958843
S024;921;1;0.7751256281407035
S024;922;1;0.7751256281407035
S024;1115;1;0.7600479904019196
S024;1116;0;0.7600479904019196
S024;1123;0;0.23130841121495327
S024;1124;0;0.23130841121495327
S024;1125;0;0.24356077722548578
S024;1126;0;0.2550335570469799
S025;109;1;0.7600479904019196
S025;177;1;0.5091649694501018
S025;185;1;0.7983870967741935
S025;186;1;0.7983870967741935
S025;201;1;0.7940379403794038
S025;382;1;0.6569037656903766
S025;430;0;0.7107142857142857
S025;565;0;0.7940379403794038
S025;1185;1;0.7983870967741935
S026;225;1;0.6260229132569558
S026;454;1;0.7751256281407035
S026;455;1;0.7751256281407035
S026;456;1;0.7751256281407035
S026;511;0;0.49085365853658536
S026;966;0;0.7296996662958843
S026;967;0;0.7751256281407035
S026;1386;0;0.7296996662958843
S026;1387;0;0.7751256281407035
S026;1405;0;0.26453488372093026
S027;172;0;0.272
S027;300;0;0.7940379403794038
S027;544;1;0.7751256281407035
S027;609;0;0.6052631578947368
S027;758;1;0.7107142857142857
S027;775;0;0.49085365853658536
S027;877;0;0.39085545722713866
S027;878;0;0.39921722113502933
S027;1177;0;0.2785571142284569
S027;1178;0;0.4186746987951807
S027;1213;1;0.39085545722713866
S027;1351;1;0.7983870967741935
S027;1369;1;0.5862619808306709
S027;1370;1;0.7107142857142857
S027;1371;1;0.7600479904019196
S027;1372;1;0.7600479904019196
S028;15;1;0.7983870967741935
S028;16;1;0.7983870967741935
S028;17;1;0.7983870967741935
S028;183;1;0.7751256281407035
S028;184;1;0.7751256281407035
S028;185;1;0.7751256281407035
S028;186;1;0.7751256281407035
S028;187;1;0.7983870967741935
S028;298;1;0.4111111111111111
S028;299;1;0.5166240409207161
S028;457;1;0.39921722113502933
S028;458;1;0.5862619808306709
S028;459;1;0.7107142857142857
S028;460;1;0.7600479904019196
S028;461;1;0.7600479904019196
S028;462;1;0.7600479904019196
S028;523;1;0.5038759689922481
S028;524;0;0.7107142857142857
S028;574;1;0.7600479904019196
S028;794;1;0.7751256281407035
S028;795;1;0.7751256281407035
S029;24;1;0.6815789473684211
S029;199;1;0.7751256281407035
S029;200;1;0.7751256281407035
S029;432;1;0.799367088607595
S029;801;1;0.24356077722548578
S029;802;1;0.2550335570469799
S029;803;1;0.39915966386554624
S029;813;1;0.7983870967741935
S029;820;0;0.16429840142095914
S029;1125;1;0.49420070600100857
S029;1126;1;0.49420070600100857
S029;1127;1;0.6569037656903766
S030;354;1;0.7107142857142857
S030;355;1;0.7600479904019196
S030;384;1;0.6685057471264367
S030;385;1;0.6569037656903766
S030;386;1;0.7940379403794038
S030;789;1;0.7600479904019196
S030;865;1;0.5973377703826955
S030;866;1;0.7296996662958843
S030;953;1;0.36783042394014964
S031;324;1;0.7107142857142857
S031;325;1;0.7600479904019196
S031;326;1;0.7600479904019196
S031;399;1;0.7983870967741935
S031;400;1;0.6685057471264367
S031;1331;1;0.26453488372093026
S031;1345;1;0.7961011591148578
S031;1425;0;0.7600479904019196
S031;1426;0;0.7600479904019196
S031;1427;0;0.7600479904019196
S032;6;1;0.7600479904019196
S032;82;1;0.7600479904019196
S032;188;1;0.5973377703826955
S032;189;1;0.6260229132569558
S032;858;1;0.49085365853658536
S032;859;1;0.7600479904019196
S032;860;1;0.7600479904019196
S032;861;1;0.7600479904019196
S032;862;0;0.7600479904019196
S032;964;0;0.26453488372093026
S032;1061;1;0.7961011591148578
S032;1062;1;0.7961011591148578
